Name,Category,Price,Description,Allergens,Image,Special
Vegetable or Meat Spring Rolls,starters,5.0,"A traditional Thai dish prepared with authentic herbs, spices, and flavours.","May contain Soy, Gluten, Nuts, Fish, Shellfish, Egg",,False
Sui Mai,mains,4.5,"A traditional Thai dish prepared with authentic herbs, spices, and flavours.","May contain Soy, Gluten, Nuts, Fish, Shellfish, Egg",,False
nan,mains,0.0,"A traditional Thai dish prepared with authentic herbs, spices, and flavours.","May contain Soy, Gluten, Nuts, Fish, Shellfish, Egg",,False
Pre-Prepped Meals,prepped,0.0,"A traditional Thai dish prepared with authentic herbs, spices, and flavours.","May contain Soy, Gluten, Nuts, Fish, Shellfish, Egg",,False
Larb,mains,5.0,"A traditional Thai salad with minced meat, lime, herbs, and a kick of chili.","Fish Sauce, Soy",,False
Chicken Cashew Nut,mains,5.0,"Wok-fried chicken with crunchy cashews, vegetables, and a savoury sauce.","Cashew Nuts, Soy, Gluten",,False
Sweet and Sour Pork or Chicken,mains,5.0,"A traditional Thai dish prepared with authentic herbs, spices, and flavours.","May contain Soy, Gluten, Nuts, Fish, Shellfish, Egg",,False
Massaman Curry,mains,5.0,"A rich, mildly spiced curry with potatoes, peanuts, and tender meat in a creamy coconut sauce.","Peanuts, Soy, Fish, Shellfish (may contain), Gluten",,False
Chicken Fried Rice,mains,5.0,"Classic Thai fried rice with chicken, egg, and vegetables.","Egg, Soy, Gluten",,False
Panang Curry,mains,5.0,"A smooth, aromatic red curry with a hint of sweetness and kaffir lime.","Soy, Fish Sauce, Nuts (may contain)",,False
Pad Thai,mains,5.0,"A traditional Thai dish prepared with authentic herbs, spices, and flavours.","May contain Soy, Gluten, Nuts, Fish, Shellfish, Egg",,False
Thai Green Curry,mains,5.0,"A traditional Thai dish prepared with authentic herbs, spices, and flavours.","May contain Soy, Gluten, Nuts, Fish, Shellfish, Egg",,False
